Country,Code,Year,Death_earthquake,Death_total,Death_rate,log_Death_rate
Haiti,HTI,2010,316000,315305.2305,1.002203482,0.000955907
Samoa,WSM,2009,192,1141.286838,0.168231152,-0.77409358
Iran,IRN,1990,50042,319478.6522,0.156636444,-0.805107185
Indonesia,IDN,2004,228008,1632559.561,0.139662898,-0.85491895
Iran,IRN,2003,31001,324075.3283,0.095659858,-1.019270267
Pakistan,PAK,2005,76213,1414019.845,0.053898112,-1.268426447
Turkey,TUR,1999,18022,368779.2338,0.048869346,-1.310963472
Nepal,NPL,2015,8317,187498.5362,0.04435768,-1.35303118
El Salvador,SLV,2001,1160,33259.0823,0.034877691,-1.457452273
Papua New Guinea,PNG,1998,1636,54786.9607,0.02986112,-1.524893909
Afghanistan,AFG,1998,7024,290800.026,0.024154056,-1.617009938
Algeria,DZA,2003,2275,143080.1131,0.015900183,-1.798597874
Japan,JPN,2011,18463,1267621.744,0.01456507,-1.836687411
Solomon Islands,SLB,2007,52,3698.041583,0.014061497,-1.851968447
Iran,IRN,1997,2916,267602.9893,0.010896739,-1.962703441
China,CHN,2008,87724,8548605.748,0.01026179,-1.988776862
Rwanda,RWA,2002,1001,108441.488,0.009230784,-2.034761391
Nicaragua,NIC,1992,170,19718.72077,0.008621249,-2.064429816
Ecuador,ECU,2016,667,86100.97902,0.007746718,-2.110882256
Costa Rica,CRI,1991,89,11987.97833,0.007424104,-2.129355943
Vanuatu,VUT,1999,10,1386.192859,0.007214003,-2.141823657
Philippines,PHL,1990,2417,386175.687,0.006258809,-2.203508277
Colombia,COL,1999,1185,190452.0013,0.00622204,-2.20606719
New Zealand,NZL,2011,182,30123.69021,0.006041756,-2.218836785
Japan,JPN,1995,5502,918705.178,0.005988864,-2.222655578
Chile,CHL,2010,558,96382.95028,0.005789406,-2.237366017
Georgia,GEO,1991,278,53236.17653,0.005222013,-2.282162061
Afghanistan,AFG,2002,1166,253630.6288,0.004597237,-2.337503148
Indonesia,IDN,2006,6563,1500136.696,0.004374935,-2.359028431
Peru,PER,2007,514,120367.2667,0.004270264,-2.36954528
Afghanistan,AFG,1991,848,199867.8662,0.004242803,-2.372347124
Colombia,COL,1994,650,187925.2743,0.003458822,-2.461071836
Morocco,MAR,2004,628,194009.9271,0.003236948,-2.489864309
Bhutan,BTN,2009,11,3886.823577,0.002830074,-2.548202143
Solomon Islands,SLB,2013,10,3910.427943,0.002557265,-2.592224288
India,IND,2001,20005,8827061.211,0.002266326,-2.644677582
Philippines,PHL,1991,800,379628.0002,0.002107326,-2.67626825
Kyrgyzstan,KGZ,1992,79,38073.6914,0.002074924,-2.682997894
Iran,IRN,2005,625,312774.2529,0.001998246,-2.699350978
Kyrgyzstan,KGZ,2008,74,38994.79429,0.001897689,-2.721774914
Indonesia,IDN,1992,2500,1338017.126,0.001868436,-2.728521664
Turkey,TUR,2011,646,366752.0941,0.001761408,-2.754140084
Turkey,TUR,1992,653,373053.8499,0.001750418,-2.756858345
Bolivia,BOL,1998,105,60453.49413,0.001736872,-2.760232108
Iran,IRN,2017,641,380006.2891,0.001686814,-2.772932755
Afghanistan,AFG,2015,403,245708.9998,0.001640152,-2.785116018
Greece,GRC,1999,143,97375.93403,0.001468535,-2.833115599
Peru,PER,1990,201,137599.4868,0.001460761,-2.835420757
Tajikistan,TJK,2002,53,36637.69173,0.001446598,-2.839652235
Costa Rica,CRI,2009,23,16761.53234,0.00137219,-2.862585883
